"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"Jindal Stainless Limited","70.1","29.9","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174393_768227_16012023060402_WEB.xml"
"Advanced Enzyme Technologies Limited","49.87","50.13","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174394_768233_16012023060520_WEB.xml"
"Oriental Trimex Limited","27.24","72.76","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174413_768524_16012023102503_WEB.xml"
"Agro Tech Foods Limited","51.77","47.75","0.48","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174443_768830_17012023121435_WEB.xml"
"Ruchira Papers Limited","68.67","31.33","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174444_768843_17012023121915_WEB.xml"
"Art Nirman Limited","73.75","26.25","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174445_768864_17012023122707_WEB.xml"
"Sundram Fasteners Limited","48.51","51.49","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175389_776220_20012023081615_WEB.xml"
"Reliance Industries Limited","50.49","49.51","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175390_776223_20012023081637_WEB.xml"
"Siemens Limited","75","25","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175391_776225_20012023081701_WEB.xml"
"Max Healthcare Institute Limited","23.78","76.22","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175392_776234_20012023082038_WEB.xml"
"Carborundum Universal Limited","41.89","58.11","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175393_776239_20012023082211_WEB.xml"
"Lumax Industries Limited","75","25","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175394_776257_20012023083424_WEB.xml"
"Chalet Hotels Limited","71.65","28.35","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175395_776262_20012023083707_WEB.xml"
"JM Financial Limited","56.01","43.99","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175396_776266_20012023083922_WEB.xml"
"Apar Industries Limited","60.64","39.36","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175399_776294_20012023091833_WEB.xml"
"Edelweiss Financial Services Limited","32.62","62.61","4.76","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175400_776296_20012023091850_WEB.xml"
"Reliance Infrastructure Limited","4.56","95.28","0.16","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175403_776308_20012023095148_WEB.xml"
"Network18 Media & Investments Limited","75","25","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175404_776312_20012023095311_WEB.xml"
"Go Fashion (India) Limited","52.79","47.21","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175405_776320_20012023095621_WEB.xml"
"Jayshree Tea & Industries Limited","50.43","49.57","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174537_769588_17012023041240_WEB.xml"
"HCL Infosystems Limited","62.89","37.11","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174538_769590_17012023041318_WEB.xml"
"Jindal Poly Investment and Finance Company Limited","74.63","25.37","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174539_769592_17012023041337_WEB.xml"
"Ami Organics Limited","39.41","60.59","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174540_769603_17012023041600_WEB.xml"
"Persistent Systems Limited","31.26","66.47","2.27","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174541_769632_17012023042503_WEB.xml"
"IVRCL Limited","5.37","94.63","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174542_769639_17012023042541_WEB.xml"
"Century Textiles & Industries Limited","50.21","49.79","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174543_769671_17012023043434_WEB.xml"
"S.J.S. Enterprises Limited","50.37","49.63","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174678_770993_18012023020610_WEB.xml"
"Laxmi Cotspin Limited","57.41","42.59","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174695_771138_18012023030437_WEB.xml"
"Xelpmoc Design And Tech Limited","54.02","45.98","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174696_771145_18012023030718_WEB.xml"
"RSWM Limited","53.16","46.84","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174697_771165_18012023031005_WEB.xml"
"JMT Auto Limited","66.77","33.23","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174854_772321_18012023084339_WEB.xml"
"Biocon Limited","60.64","38.78","0.58","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174855_772329_18012023084715_WEB.xml"
"Accuracy Shipping Limited","63.69","36.31","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174856_772334_18012023090033_WEB.xml"
"Bank of India","81.41","18.59","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173744_761184_10012023064058_WEB.xml"
"Vinyl Chemicals (India) Limited","50.41","49.59","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173745_761204_10012023064803_WEB.xml"
"GPT Infraprojects Limited","75","25","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174109_765178_13012023012221_WEB.xml"
"Chemfab Alkalis Limited","73.3","26.7","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174111_765196_13012023013119_WEB.xml"
"Shemaroo Entertainment Limited","65.88","34.12","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174410_768485_16012023080232_WEB.xml"
"Blue Star Limited","38.78","61.22","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174411_768493_16012023080741_WEB.xml"
"Adani Total Gas Limited","74.8","25.2","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175382_776188_20012023075014_WEB.xml"
"DQ Entertainment (International) Limited","74.76","25.24","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175383_776198_20012023075318_WEB.xml"
"Mastek Limited","37.27","62.73","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175384_776202_20012023075829_WEB.xml"
"Kfin Technologies Limited","49.91","50.09","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175385_776208_20012023080410_WEB.xml"
"Indus Towers Limited","69","30.99","0.01","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175397_776279_20012023085406_WEB.xml"
"TV18 Broadcast Limited","60.4","39.6","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175406_776324_20012023100112_WEB.xml"
"One 97 Communications Limited","0","100","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175407_776326_20012023100612_WEB.xml"
"S Chand And Company Limited","47.14","52.86","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174446_768866_17012023122729_WEB.xml"
"IndoStar Capital Finance Limited","89.21","10.79","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174447_768880_17012023123332_WEB.xml"
"Subex Limited","0","97.97","2.03","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174448_768883_17012023123523_WEB.xml"
"Pidilite Industries Limited","69.94","30.06","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174449_768890_17012023123548_WEB.xml"
"V-Guard Industries Limited","55.85","44.15","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174450_768893_17012023123848_WEB.xml"
"Orient Bell Limited","64.45","35.55","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174451_768899_17012023123920_WEB.xml"
"Gulf Oil Lubricants India Limited","72.02","27.98","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174494_769221_17012023024726_WEB.xml"
"Home First Finance Company India Limited","33.52","66.48","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174495_769229_17012023024935_WEB.xml"
"Ndr Auto Components Limited","73.95","26.05","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174496_769236_17012023025226_WEB.xml"
"Arrow Greentech Limited","68.6","31.4","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174497_769241_17012023025714_WEB.xml"
"Vidhi Specialty Food Ingredients Limited","64.27","35.73","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174498_769243_17012023030004_WEB.xml"
"Stove Kraft Limited","56.19","43.81","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174499_769247_17012023030114_WEB.xml"
"The Ugar Sugar Works Limited","44.35","55.65","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174500_769264_17012023030526_WEB.xml"
"ITD Cementation India Limited","46.64","53.36","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174501_769268_17012023030624_WEB.xml"
"Bombay Super Hybrid Seeds Limited","73.8","26.2","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175408_776331_20012023101041_WEB.xml"
"Apollo Tyres Limited","37.34","62.66","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175409_776334_20012023101834_WEB.xml"
"Indian Terrain Fashions Limited","34.24","65.76","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175410_776336_20012023101917_WEB.xml"
"Rallis India Limited","50.09","49.91","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175411_776364_20012023104521_WEB.xml"
"Reliance Power Limited","25","75","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175412_776367_20012023105812_WEB.xml"
"Alkali Metals Limited","69.59","30.41","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175413_776372_20012023110357_WEB.xml"
"Apollo Micro Systems Limited","59.1","40.9","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175414_776380_20012023111018_WEB.xml"
"Kellton Tech Solutions Limited","52.11","47.89","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175415_776385_20012023111753_WEB.xml"
"Foseco India Limited","74.98","25.02","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175417_776404_20012023113115_WEB.xml"
"Goenka Diamond and Jewels Limited","57.55","42.45","0","-","31-DEC-2022","21-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175418_776420_21012023121520_WEB.xml"
"Kavveri Telecom Products Limited","15.14","84.86","0","-","31-DEC-2022","21-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175419_776433_21012023122753_WEB.xml"
"Welspun India Limited","70.36","29.64","0","-","31-DEC-2022","21-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175420_776438_21012023123645_WEB.xml"
"The India Cements Limited","28.42","71.59","0","-","31-DEC-2022","21-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175421_776452_21012023091416_WEB.xml"
"Jupiter Wagons Limited","74.62","25.38","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174860_772351_18012023103814_WEB.xml"
"Sumit Woods Limited","69.94","30.06","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174875_772412_19012023104804_WEB.xml"
"Ramco Industries Limited","53.97","46.03","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174876_772416_19012023104950_WEB.xml"
"Xchanging Solutions Limited","75","25","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174877_772422_19012023105843_WEB.xml"
"Bajaj Healthcare Limited","67.42","32.58","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174878_772429_19012023110151_WEB.xml"
"Krishna Institute of Medical Sciences Limited","38.84","61.16","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174879_772439_19012023110703_WEB.xml"
"B. L. Kashyap and Sons Limited","61.56","38.44","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174880_772441_19012023110726_WEB.xml"
"Madhav Marbles and Granites Limited","42.43","57.57","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174929_772746_19012023011039_WEB.xml"
"The Federal Bank  Limited","0","100","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174930_772763_19012023012037_WEB.xml"
"Reliance Communications Limited","5.18","94.06","0.77","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174931_772768_19012023012501_WEB.xml"
"Bharat Road Network Limited","53.76","46.24","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174932_772775_19012023012931_WEB.xml"
"Veto Switchgears And Cables Limited","50.08","49.92","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174933_772784_19012023013030_WEB.xml"
"Narmada Agrobase Limited","66.47","33.53","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174935_772796_19012023013510_WEB.xml"
"Inox Green Energy Services Limited","56.04","43.96","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174936_772798_19012023013524_WEB.xml"
"Ircon International Limited","73.18","26.82","0","Revised","31-DEC-2022","09-JAN-2023","11-JAN-2023","https://archives.nseindia.com/corporate/xbrl/SHP_173570_758845_09012023034807_WEB.xml"
"Garden Reach Shipbuilders & Engineers Limited","74.5","25.5","0","Revised","31-DEC-2022","10-JAN-2023","11-JAN-2023","https://archives.nseindia.com/corporate/xbrl/SHP_173663_760242_10012023022042_WEB.xml"
"Excel Realty N Infra Limited","20.98","79.02","0","Revised","31-DEC-2022","11-JAN-2023","11-JAN-2023","https://archives.nseindia.com/corporate/xbrl/SHP_173831_762030_11012023031618_WEB.xml"
"Paras Defence and Space Technologies Limited","58.94","41.06","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173880_762651_11012023054118_WEB.xml"
"Marine Electricals (India) Limited","73.71","26.29","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173881_762668_11012023054515_WEB.xml"
"Gland Pharma Limited","57.86","42.14","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173882_762715_11012023055539_WEB.xml"
"Tata Communications Limited","58.86","41.14","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173883_762720_11012023055737_WEB.xml"
"Aksh Optifibre Limited","27.95","72.05","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173884_762729_11012023055916_WEB.xml"
"BIRLASOFT LIMITED","41.31","58.6","0.09","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173885_762733_11012023055938_WEB.xml"
"Can Fin Homes Limited","29.99","70.01","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173886_762739_11012023060125_WEB.xml"
"E2E Networks Limited","59.71","39.73","0.57","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173887_762759_11012023060541_WEB.xml"
"DCM Shriram Limited","66.52","32.44","1.04","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173888_762772_11012023060744_WEB.xml"
"Jamna Auto Industries Limited","49.98","50.02","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174518_769388_17012023034050_WEB.xml"
"Finolex Industries Limited","52.47","47.19","0.34","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174520_769403_17012023034325_WEB.xml"
"Raj Television Network Limited","71.42","28.58","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174521_769418_17012023034539_WEB.xml"
"Diamond Power Infra Ltd","11.41","88.59","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174522_769434_17012023034923_WEB.xml"
"Oriental Carbon & Chemicals Limited","51.76","48.24","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174523_769450_17012023035244_WEB.xml"
"Mcnally Bharat Engineering Company Limited","32.79","67.21","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174524_769461_17012023035441_WEB.xml"
"Goldstar Power Limited","72.91","27.09","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174525_769467_17012023035508_WEB.xml"
"Mangalam Drugs And Organics Limited","50.32","49.68","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174526_769471_17012023035520_WEB.xml"
"SHREE CEMENT LIMITED","62.55","37.45","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174527_769482_17012023035641_WEB.xml"
"Pudumjee Paper Products Limited","71.05","28.95","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174529_769521_17012023040209_WEB.xml"
"Sundaram Multi Pap Limited","31.05","68.95","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174530_769526_17012023040303_WEB.xml"
"Faze Three Limited","51.53","48.47","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174531_769539_17012023040607_WEB.xml"
"TVS Motor Company Limited","50.27","49.73","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174532_769547_17012023040712_WEB.xml"
