"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"Vertoz Advertising Limited","56.33","43.67","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175286_775361_20012023044826_WEB.xml"
"Signet Industries Limited","72.57","27.43","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175287_775385_20012023045218_WEB.xml"
"India Nippon Electricals Limited","70.39","29.61","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175288_775397_20012023045422_WEB.xml"
"Savita Oil Technologies Limited","71.81","28.19","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175289_775404_20012023045455_WEB.xml"
"Anand Rathi Wealth Limited","48.74","51.26","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175290_775406_20012023045511_WEB.xml"
"Gujarat Gas Limited","60.89","39.11","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175291_775409_20012023045522_WEB.xml"
"Shalimar Paints Limited","39.92","60.08","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175292_775415_20012023045722_WEB.xml"
"GTL Infrastructure Limited","3.32","96.68","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175293_775428_20012023045930_WEB.xml"
"Onward Technologies Limited","45.43","54.57","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175294_775436_20012023050100_WEB.xml"
"Tarsons Products Limited","47.31","52.69","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173704_760746_10012023043849_WEB.xml"
"Elgi Equipments Limited","31.19","68.62","0.19","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173715_760886_10012023051234_WEB.xml"
"Pritish Nandy Communications Limited","54.84","45.16","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173716_760891_10012023051318_WEB.xml"
"Jindal Worldwide Limited","61.32","38.68","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173717_760896_10012023051404_WEB.xml"
"Sundaram Finance Holdings Limited","55.59","43.77","0.64","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173719_760929_10012023051940_WEB.xml"
